attack_intensity,availability_mean,availability_std,security_compliance_mean,security_compliance_std,mean_risk,frac_qkd,frac_pqc,frac_hybrid
0.0,1.0,0.0,1.0,0.0,0.1356241577021096,0.525,0.475,0.0
0.1,1.0,0.0,1.0,0.0,0.17774513085179558,0.36666666666666664,0.6333333333333333,0.0
0.2,1.0,0.0,1.0,0.0,0.2198661040014816,0.36666666666666664,0.6333333333333333,0.0
0.30000000000000004,1.0,0.0,1.0,0.0,0.2619870771511676,0.275,0.6333333333333333,0.09166666666666666
0.4,1.0,0.0,1.0,0.0,0.3041080503008536,0.21666666666666667,0.6333333333333333,0.15
0.5,1.0,0.0,1.0,0.0,0.3462290234505396,0.20833333333333334,0.6333333333333333,0.15833333333333333
0.6000000000000001,1.0,0.0,1.0,0.0,0.38834999660022557,0.20833333333333334,0.6333333333333333,0.15833333333333333
0.7000000000000001,1.0,0.0,1.0,0.0,0.43047096974991156,0.11666666666666667,0.6333333333333333,0.25
0.8,1.0,0.0,1.0,0.0,0.4725919428995976,0.08333333333333333,0.6333333333333333,0.2833333333333333
0.9,1.0,0.0,1.0,0.0,0.514481738454493,0.075,0.6333333333333333,0.2916666666666667
1.0,1.0,0.0,1.0,0.0,0.5532508949476039,0.025,0.6333333333333333,0.3416666666666667
