w_R,w_L,mean_risk,mean_latency_ms,mean_pool_pressure
3.0,0.5,0.09046810153107335,5.097916666666666,0.1309490381432895
3.0,1.0,0.0904726706747412,5.015,0.1326165300181956
3.0,1.5,0.09282632441012847,4.72375,0.13386023137566755
3.0,2.0,0.09515833771016967,4.474583333333333,0.13428498764027813
2.0,1.5,0.09689602174600452,4.4325,0.13243864564190014
1.5,1.5,0.09689602174600452,4.4325,0.13243864564190014
2.0,2.0,0.09775597094488225,4.349583333333333,0.13339292333217528
3.0,3.0,0.098281206390669,4.267083333333333,0.13494331247674646
1.5,2.0,0.1022305269799264,4.141666666666667,0.13381711955540426
2.0,3.0,0.10281686898207823,4.1,0.1350982582060561
1.5,3.0,0.10405496448459252,4.058333333333334,0.13521209150320032
1.0,3.0,0.1043974264945929,4.057916666666666,0.13587255073529486
