pool_frac,seed,n_served,n_requests,frac_pqc
0.9,0,3,3,0.3333333333333333
0.9,1,3,3,0.3333333333333333
0.9,2,3,3,0.0
0.9,3,3,3,0.0
0.9,4,3,3,0.3333333333333333
0.9,5,3,3,0.0
0.9,6,3,3,0.3333333333333333
0.9,7,3,3,0.0
0.9,8,3,3,0.0
0.9,9,3,3,0.0
0.9,10,3,3,0.3333333333333333
0.9,11,3,3,0.3333333333333333
0.9,12,3,3,0.0
0.9,13,3,3,1.0
0.9,14,3,3,0.6666666666666666
0.9,15,3,3,0.3333333333333333
0.9,16,3,3,0.3333333333333333
0.9,17,3,3,0.0
0.9,18,3,3,0.3333333333333333
0.9,19,3,3,0.0
0.9,20,3,3,0.0
0.9,21,3,3,0.0
0.9,22,3,3,0.3333333333333333
0.9,23,3,3,0.0
0.9,24,3,3,0.3333333333333333
0.9,25,3,3,0.0
0.9,26,3,3,0.3333333333333333
0.9,27,3,3,0.0
0.9,28,3,3,1.0
0.9,29,3,3,0.3333333333333333
0.8022222222222223,0,3,3,0.3333333333333333
0.8022222222222223,1,3,3,0.3333333333333333
0.8022222222222223,2,3,3,0.3333333333333333
0.8022222222222223,3,3,3,1.0
0.8022222222222223,4,3,3,0.6666666666666666
0.8022222222222223,5,3,3,0.3333333333333333
0.8022222222222223,6,3,3,0.3333333333333333
0.8022222222222223,7,3,3,0.0
0.8022222222222223,8,3,3,0.0
0.8022222222222223,9,3,3,0.6666666666666666
0.8022222222222223,10,3,3,0.3333333333333333
0.8022222222222223,11,3,3,0.3333333333333333
0.8022222222222223,12,3,3,0.6666666666666666
0.8022222222222223,13,3,3,1.0
0.8022222222222223,14,3,3,0.6666666666666666
0.8022222222222223,15,3,3,0.6666666666666666
0.8022222222222223,16,3,3,0.6666666666666666
0.8022222222222223,17,3,3,0.0
0.8022222222222223,18,3,3,0.3333333333333333
0.8022222222222223,19,3,3,0.3333333333333333
0.8022222222222223,20,3,3,0.0
0.8022222222222223,21,3,3,0.6666666666666666
0.8022222222222223,22,3,3,0.3333333333333333
0.8022222222222223,23,3,3,0.0
0.8022222222222223,24,3,3,1.0
0.8022222222222223,25,3,3,0.3333333333333333
