w_R,w_L,seed,mean_risk,mean_latency_ms,mean_pool_pressure
0.2,0.2,0,0.1564161553710611,6.6625000000000005,0.3899444951066492
0.2,0.2,1,0.12275306677496955,3.1875,0.10162458917489434
0.2,0.2,2,0.1839336656068155,6.5375,0.258315884161072
0.2,0.2,3,0.051392260134973736,3.5875,0.0
0.2,0.2,4,0.08971962099403684,3.4124999999999996,0.08778714614378752
0.2,0.2,5,0.06844347418458316,4.0375,0.12678679181583316
0.2,0.2,6,0.15569694949456636,7.050000000000001,0.14730309781351486
0.2,0.2,7,0.11532226335187255,4.15,0.20040073198640312
0.2,0.2,8,0.191916213088488,6.65,0.18962293935204722
0.2,0.2,9,0.11206230914748352,6.5375000000000005,0.14965879221507555
0.2,0.2,10,0.11503985997413094,3.925,0.11992342427137699
0.2,0.2,11,0.07396095574963364,3.9250000000000003,0.07672706402970318
0.2,0.2,12,0.05395061738406182,5.574999999999999,0.11272049833294963
0.2,0.2,13,0.04623967659203382,2.05,0.0
0.2,0.2,14,0.10945716365455556,4.0375,0.13802171482521283
0.2,0.2,15,0.12809375509834411,3.1874999999999996,0.09853010950941135
0.2,0.2,16,0.06311209099592324,6.2,0.08346585529063152
0.2,0.2,17,0.06404248721552915,4.4375,0.06957334473037466
0.2,0.2,18,0.10090873088611574,5.5125,0.18477916414576553
0.2,0.2,19,0.1885574566786252,5.2875000000000005,0.10257780861126153
0.2,0.2,20,0.1852639466767647,7.275,0.14386709440276596
0.2,0.2,21,0.14347905447022125,4.15,0.08804322612681986
0.2,0.2,22,0.12130781338631759,7.1625,0.16019190184973292
0.2,0.2,23,0.22732159097201704,5.625,0.3017524401435495
0.2,0.2,24,0.04086038702327043,3.5875,0.0
0.2,0.2,25,0.14904090134040637,4.6625000000000005,0.13399614354102823
0.2,0.2,26,0.18845019243158492,3.0125,0.22639729100800485
0.2,0.2,27,0.15571927916647627,10.625,0.3562061776370029
0.2,0.2,28,0.09465056974166193,3.3,0.08262600031727582
0.2,0.2,29,0.09314060979797129,4.6625,0.18522274292495877
0.2,0.5,0,0.1564161553710611,6.6625000000000005,0.3899444951066492
0.2,0.5,1,0.12275306677496955,3.1875,0.10162458917489434
0.2,0.5,2,0.1839336656068155,6.5375,0.258315884161072
0.2,0.5,3,0.051392260134973736,3.5875,0.0
0.2,0.5,4,0.08971962099403684,3.4124999999999996,0.08778714614378752
0.2,0.5,5,0.06844347418458316,4.0375,0.12678679181583316
0.2,0.5,6,0.09010861182029309,6.7125,0.07361152369738551
0.2,0.5,7,0.11532226335187255,4.15,0.20040073198640312
0.2,0.5,8,0.191916213088488,6.65,0.18962293935204722
0.2,0.5,9,0.11206230914748352,6.5375000000000005,0.14965879221507555
0.2,0.5,10,0.11503985997413094,3.925,0.11992342427137699
0.2,0.5,11,0.07396095574963364,3.9250000000000003,0.07672706402970318
0.2,0.5,12,0.05395061738406182,5.574999999999999,0.11272049833294963
0.2,0.5,13,0.04623967659203382,2.05,0.0
0.2,0.5,14,0.10945716365455556,4.0375,0.13802171482521283
