seed,solver,objective,runtime_s,violations,approximation_ratio
0,Exact,1.5702278299821586,0.001964759998372756,0,1.0
0,Greedy,1.5702278299821586,1.8718012142926455e-05,0,1.0
0,MILP,1.5702278299821586,0.0016635339998174459,0,1.0
0,SimulatedAnnealing,1.5702278299821586,0.011960567004280165,0,1.0
0,Q-Learning,1.5702278299821586,0.04691100500349421,0,1.0
0,QAOA(p=2),2.3596303203250955,4.172485134011367,1,1.5027311803229895
1,Exact,0.9226475351749741,0.00220923000597395,0,1.0
1,Greedy,0.9226475351749741,2.189299266319722e-05,0,1.0
1,MILP,0.9226475351749741,0.0011082929995609447,0,1.0
1,SimulatedAnnealing,0.9226475351749741,0.012026673008222133,0,1.0
1,Q-Learning,0.9226475351749741,0.04988739200052805,0,1.0
1,QAOA(p=2),1.5141317461633008,3.5721156439976767,1,1.6410727698699759
2,Exact,1.4111297270401622,0.002498039000784047,0,1.0
2,Greedy,1.4111297270401622,2.3451997549273074e-05,0,1.0
2,MILP,1.4111297270401622,0.00110817099630367,0,1.0
2,SimulatedAnnealing,1.4111297270401622,0.013514954000129364,0,1.0
2,Q-Learning,1.4111297270401622,0.05087090599408839,0,1.0
2,QAOA(p=2),1.7630136349153247,4.424574384000152,0,1.2493632591903774
3,Exact,0.722180823782864,0.0025362119922647253,0,1.0
3,Greedy,0.722180823782864,2.702500205487013e-05,0,1.0
3,MILP,0.722180823782864,0.0011924690043088049,0,1.0
3,SimulatedAnnealing,0.722180823782864,0.012949030002346262,0,1.0
3,Q-Learning,0.722180823782864,0.07461160499951802,0,1.0
3,QAOA(p=2),0.8331360977403222,5.8646121279889485,0,1.1536391860645954
4,Exact,0.7061571021374959,0.0021809079917147756,0,1.0
4,Greedy,0.7061571021374959,2.1970001398585737e-05,0,1.0
4,MILP,0.7061571021374959,0.0011375709873391315,0,1.0
4,SimulatedAnnealing,0.7061571021374959,0.012409892995492555,0,1.0
4,Q-Learning,0.7061571021374959,0.051907308006775565,0,1.0
4,QAOA(p=2),1.427266695796888,4.075310900996556,0,2.0211744546314634
5,Exact,1.234383913777691,0.0021897469996474683,0,1.0
5,Greedy,1.234383913777691,2.768301055766642e-05,0,1.0
5,MILP,1.234383913777691,0.0012840429990319535,0,1.0
5,SimulatedAnnealing,1.234383913777691,0.016057236003689468,0,1.0
5,Q-Learning,1.2445482957878937,0.049061091005569324,0,1.0082343765960913
5,QAOA(p=2),2.368427194231444,3.7751696890045423,2,1.9187119726658968
6,Exact,1.2303902163834408,0.002524130992242135,0,1.0
6,Greedy,1.2303902163834408,2.7058005798608065e-05,0,1.0
6,MILP,1.2303902163834408,0.0013080409989925101,0,1.0
6,SimulatedAnnealing,1.2303902163834408,0.015352553993579932,0,1.0
6,Q-Learning,1.2303902163834408,0.0553561379929306,0,1.0
6,QAOA(p=2),1.4387417819668826,3.622294390996103,0,1.169337794472929
7,Exact,1.803456717323897,0.002382859995122999,0,1.0
