seed,attack_intensity,condition,availability,security_compliance,mean_risk_of_solution
0,0.0,Static,1.0,1.0,0.10718564883849863
0,0.0,TrustOnly,1.0,0.25,0.020543847456147814
0,0.0,QOPT_Oracle,1.0,1.0,0.10718564883849863
0,0.0,QOPT_QTRACE,1.0,1.0,0.11782536693449086
0,0.125,Static,1.0,1.0,0.15619231722930602
0,0.125,TrustOnly,1.0,0.25,0.029439203174973668
0,0.125,QOPT_Oracle,1.0,1.0,0.15619231722930602
0,0.125,QOPT_QTRACE,1.0,1.0,0.15656428839506445
0,0.25,Static,1.0,1.0,0.18692978519711803
0,0.25,TrustOnly,1.0,0.25,0.035583995304456134
0,0.25,QOPT_Oracle,1.0,1.0,0.18692978519711803
0,0.25,QOPT_QTRACE,1.0,1.0,0.1696765969063691
0,0.375,Static,1.0,1.0,0.220020867116561
0,0.375,TrustOnly,1.0,0.25,0.04171248429147235
0,0.375,QOPT_Oracle,1.0,1.0,0.19916692759526977
0,0.375,QOPT_QTRACE,1.0,1.0,0.18485073211224368
0,0.5,Static,1.0,1.0,0.2792638122674192
0,0.5,TrustOnly,1.0,0.25,0.05312085201884964
0,0.5,QOPT_Oracle,1.0,1.0,0.2560529533317054
0,0.5,QOPT_QTRACE,1.0,1.0,0.242214843396296
0,0.625,Static,1.0,1.0,0.315914610154178
0,0.625,TrustOnly,1.0,0.25,0.06158879728959045
0,0.625,QOPT_Oracle,1.0,1.0,0.2834771709314218
0,0.625,QOPT_QTRACE,1.0,1.0,0.3094396776885258
0,0.75,Static,1.0,1.0,0.35078414834191457
0,0.75,TrustOnly,1.0,1.0,0.37100841287158837
0,0.75,QOPT_Oracle,1.0,1.0,0.30043495855093405
0,0.75,QOPT_QTRACE,1.0,1.0,0.3249404863456269
0,0.875,Static,1.0,1.0,0.39889828400870575
0,0.875,TrustOnly,1.0,1.0,0.4283170132466758
0,0.875,QOPT_Oracle,1.0,1.0,0.34184306129166797
0,0.875,QOPT_QTRACE,1.0,1.0,0.3390391814612032
0,1.0,Static,1.0,1.0,0.4400870519558763
0,1.0,TrustOnly,1.0,1.0,0.47949720196015416
0,1.0,QOPT_Oracle,1.0,1.0,0.3773570698378545
0,1.0,QOPT_QTRACE,1.0,1.0,0.3734467855670155
1,0.0,Static,1.0,1.0,0.07749614178729204
1,0.0,TrustOnly,1.0,0.75,0.02060776636958803
1,0.0,QOPT_Oracle,1.0,1.0,0.07749614178729204
1,0.0,QOPT_QTRACE,1.0,1.0,0.08799795113490545
1,0.125,Static,1.0,1.0,0.10602444845696744
1,0.125,TrustOnly,1.0,0.75,0.027632476907833048
1,0.125,QOPT_Oracle,1.0,1.0,0.06648047087757092
1,0.125,QOPT_QTRACE,1.0,1.0,0.06316935345361195
1,0.25,Static,1.0,1.0,0.1390914447907222
1,0.25,TrustOnly,1.0,0.75,0.035881149475501445
1,0.25,QOPT_Oracle,1.0,1.0,0.08730619719570258
1,0.25,QOPT_QTRACE,1.0,1.0,0.09498822269651203
1,0.375,Static,1.0,1.0,0.16940627539392134
1,0.375,TrustOnly,1.0,0.75,0.04339168159797173
1,0.375,QOPT_Oracle,1.0,1.0,0.10732289382157958
1,0.375,QOPT_QTRACE,1.0,1.0,0.09994181231351806
1,0.5,Static,1.0,1.0,0.19913983631455062
1,0.5,TrustOnly,1.0,0.75,0.051293357183090894
1,0.5,QOPT_Oracle,1.0,1.0,0.12546155546082566
1,0.5,QOPT_QTRACE,1.0,1.0,0.12202356421037937
1,0.625,Static,1.0,1.0,0.2316591882162539
1,0.625,TrustOnly,1.0,0.75,0.06030901355426077
1,0.625,QOPT_Oracle,1.0,1.0,0.14358609008440662
1,0.625,QOPT_QTRACE,1.0,1.0,0.13621425699916145
1,0.75,Static,1.0,1.0,0.25209327305055534
1,0.75,TrustOnly,1.0,1.0,0.3767645809314035
1,0.75,QOPT_Oracle,1.0,1.0,0.15734727103192536
1,0.75,QOPT_QTRACE,1.0,1.0,0.15180126088128237
1,0.875,Static,1.0,1.0,0.2823907761236002
1,0.875,TrustOnly,1.0,1.0,0.4296568597910825
1,0.875,QOPT_Oracle,1.0,1.0,0.18123230387500552
1,0.875,QOPT_QTRACE,1.0,1.0,0.18602839866332507
1,1.0,Static,1.0,1.0,0.31852832861040525
1,1.0,TrustOnly,1.0,1.0,0.4741560418531233
1,1.0,QOPT_Oracle,1.0,1.0,0.1809072622841264
1,1.0,QOPT_QTRACE,1.0,1.0,0.17578098127706376
2,0.0,Static,1.0,1.0,0.07596697208873672
2,0.0,TrustOnly,1.0,0.5,0.019518715392605718
2,0.0,QOPT_Oracle,1.0,1.0,0.07786547682109986
2,0.0,QOPT_QTRACE,1.0,1.0,0.08159427205647381
2,0.125,Static,1.0,1.0,0.10552033054660129
2,0.125,TrustOnly,1.0,0.5,0.0271205176523363
2,0.125,QOPT_Oracle,1.0,1.0,0.1061195082436939
2,0.125,QOPT_QTRACE,1.0,1.0,0.11193304952420453
2,0.25,Static,1.0,1.0,0.13801957376674878
