noise_strength,seed,best_sampled_energy,approximation_ratio,success_probability
0.0,0,0.6450499999999972,0.9999999999999966,0.05810546875
0.005,0,0.6450499999999972,0.9999999999999966,0.05126953125
0.01,0,0.6450499999999972,0.9999999999999966,0.05224609375
0.02,0,0.6450499999999972,0.9999999999999966,0.03515625
0.04,0,0.6450499999999972,0.9999999999999966,0.02587890625
0.08,0,0.6450499999999972,0.9999999999999966,0.01806640625
0.15,0,0.6450499999999972,0.9999999999999966,0.0185546875
0.25,0,0.6450499999999972,0.9999999999999966,0.0146484375
0.0,1,0.5186500000000014,1.0000000000000042,0.07763671875
0.005,1,0.5186500000000014,1.0000000000000042,0.06982421875
0.01,1,0.5186500000000014,1.0000000000000042,0.05322265625
0.02,1,0.5186500000000014,1.0000000000000042,0.03759765625
0.04,1,0.5186500000000014,1.0000000000000042,0.02197265625
0.08,1,0.5186500000000014,1.0000000000000042,0.01806640625
0.15,1,0.5186500000000014,1.0000000000000042,0.0146484375
0.25,1,0.5186500000000014,1.0000000000000042,0.0166015625
0.0,2,0.7290499999999991,0.9999999999999976,0.03173828125
0.005,2,0.7290499999999991,0.9999999999999976,0.02197265625
0.01,2,0.7290499999999991,0.9999999999999976,0.0263671875
0.02,2,0.7290499999999991,0.9999999999999976,0.0205078125
0.04,2,0.7290499999999991,0.9999999999999976,0.02001953125
0.08,2,0.7290499999999991,0.9999999999999976,0.01025390625
0.15,2,0.7290499999999991,0.9999999999999976,0.01220703125
0.25,2,0.7290499999999991,0.9999999999999976,0.01708984375
0.0,3,0.5640999999999963,0.9999999999999937,0.03076171875
0.005,3,0.5640999999999963,0.9999999999999937,0.02880859375
0.01,3,0.5640999999999963,0.9999999999999937,0.02783203125
0.02,3,0.5640999999999963,0.9999999999999937,0.0244140625
0.04,3,0.5640999999999963,0.9999999999999937,0.01513671875
0.08,3,0.5640999999999963,0.9999999999999937,0.015625
0.15,3,0.5640999999999963,0.9999999999999937,0.01953125
0.25,3,0.5640999999999963,0.9999999999999937,0.015625
0.0,4,0.4376999999999982,0.999999999999997,0.04248046875
0.005,4,0.4376999999999982,0.999999999999997,0.0322265625
0.01,4,0.4376999999999982,0.999999999999997,0.03271484375
0.02,4,0.4376999999999982,0.999999999999997,0.03076171875
0.04,4,0.4376999999999982,0.999999999999997,0.01904296875
0.08,4,0.4376999999999982,0.999999999999997,0.01416015625
0.15,4,0.4376999999999982,0.999999999999997,0.0166015625
0.25,4,0.4376999999999982,0.999999999999997,0.01220703125
0.0,5,0.5640999999999963,0.9999999999999937,0.06103515625
0.005,5,0.5640999999999963,0.9999999999999937,0.05712890625
0.01,5,0.5640999999999963,0.9999999999999937,0.0478515625
0.02,5,0.5640999999999963,0.9999999999999937,0.04443359375
0.04,5,0.5640999999999963,0.9999999999999937,0.02490234375
0.08,5,0.5640999999999963,0.9999999999999937,0.0244140625
0.15,5,0.5640999999999963,0.9999999999999937,0.01708984375
0.25,5,0.5640999999999963,0.9999999999999937,0.01171875
0.0,6,0.5186500000000032,1.0000000000000078,0.0087890625
0.005,6,0.5186500000000032,1.0000000000000078,0.0087890625
0.01,6,0.5186500000000032,1.0000000000000078,0.0146484375
0.02,6,0.5186500000000032,1.0000000000000078,0.01171875
0.04,6,0.5186500000000032,1.0000000000000078,0.01806640625
0.08,6,0.5186500000000032,1.0000000000000078,0.01904296875
0.15,6,0.5186500000000032,1.0000000000000078,0.017578125
0.25,6,0.5186500000000032,1.0000000000000078,0.01611328125
0.0,7,0.5606499999999977,0.9999999999999977,0.02001953125
0.005,7,0.5606499999999977,0.9999999999999977,0.0185546875
0.01,7,0.5606499999999977,0.9999999999999977,0.01611328125
0.02,7,0.5606499999999977,0.9999999999999977,0.02294921875
0.04,7,0.5606499999999977,0.9999999999999977,0.0185546875
0.08,7,0.5606499999999977,0.9999999999999977,0.01416015625
0.15,7,0.5606499999999977,0.9999999999999977,0.0048828125
0.25,7,0.5606499999999977,0.9999999999999977,0.013671875
0.0,8,0.7714499999999971,0.9999999999999966,0.02734375
0.005,8,0.7714499999999971,0.9999999999999966,0.021484375
0.01,8,0.7714499999999971,0.9999999999999966,0.025390625
0.02,8,0.7714499999999971,0.9999999999999966,0.0302734375
0.04,8,0.7714499999999971,0.9999999999999966,0.01904296875
0.08,8,0.7714499999999971,0.9999999999999966,0.015625
0.15,8,0.7714499999999971,0.9999999999999966,0.0146484375
0.25,8,0.7714499999999971,0.9999999999999966,0.01953125
0.0,9,0.8169000000000031,1.0000000000000033,0.03466796875
0.005,9,0.8169000000000031,1.0000000000000033,0.0224609375
0.01,9,0.8169000000000031,1.0000000000000033,0.02734375
0.02,9,0.8169000000000031,1.0000000000000033,0.0263671875
0.04,9,0.8169000000000031,1.0000000000000033,0.0166015625
0.08,9,0.8169000000000031,1.0000000000000033,0.017578125
0.15,9,0.8169000000000031,1.0000000000000033,0.0126953125
