qber,HYBRID,PQC,QKD
0.01,0.0,0.6333333333333333,0.36666666666666664
0.020000000000000004,0.0,0.6333333333333333,0.36666666666666664
0.030000000000000006,0.0,0.6333333333333333,0.36666666666666664
0.04000000000000001,0.0,0.6333333333333333,0.36666666666666664
0.05000000000000001,0.11666666666666667,0.6333333333333333,0.25
0.06000000000000001,0.11666666666666667,0.6333333333333333,0.25
0.07,0.11666666666666667,0.6333333333333333,0.25
0.08,0.11666666666666667,0.6333333333333333,0.25
0.09000000000000001,0.11666666666666667,0.6333333333333333,0.25
0.1,0.11666666666666667,0.6333333333333333,0.25
