attack_intensity,seed,availability,security_compliance,mean_key_pool_frac,mean_risk,frac_qkd,frac_pqc,frac_hybrid
0.2,2,1.0,1.0,0.6577157424972058,0.22343391036822985,0.5,0.5,0.0
0.2,3,1.0,1.0,0.6553398291165188,0.22261217664263339,0.0,1.0,0.0
0.2,4,1.0,1.0,0.6505601164176189,0.2213088922989205,0.25,0.75,0.0
0.2,5,1.0,1.0,0.6597868822691978,0.22417346532879937,0.25,0.75,0.0
0.2,6,1.0,1.0,0.6576809328672686,0.2213666540499724,0.25,0.75,0.0
0.2,7,1.0,1.0,0.656153223251098,0.21584306698017963,0.5,0.5,0.0
0.2,8,1.0,1.0,0.6574876708454329,0.2214857344666526,0.5,0.5,0.0
0.2,9,1.0,1.0,0.6582079961186121,0.21962965840164408,0.25,0.75,0.0
0.2,10,1.0,1.0,0.6576296678602602,0.2194284912663874,0.25,0.75,0.0
0.2,11,1.0,1.0,0.6633048088092722,0.21828659684767357,0.25,0.75,0.0
0.2,12,1.0,1.0,0.6632297654062249,0.21969094196017575,0.25,0.75,0.0
0.2,13,1.0,1.0,0.6491771900738692,0.22449687606608112,0.0,1.0,0.0
0.2,14,1.0,1.0,0.6672554536206889,0.21959223720777482,0.25,0.75,0.0
0.2,15,1.0,1.0,0.6596841820935265,0.22005192392692874,0.25,0.75,0.0
0.2,16,1.0,1.0,0.6675720751932444,0.21475201604551825,0.25,0.75,0.0
0.2,17,1.0,1.0,0.6596399958862386,0.21677996686182816,0.25,0.75,0.0
0.2,18,1.0,1.0,0.6569828291051028,0.22383220881194835,0.5,0.5,0.0
0.2,19,1.0,1.0,0.6603559937870349,0.2175190120010219,0.25,0.75,0.0
0.2,20,1.0,1.0,0.6636500089879026,0.21948404090182713,0.75,0.25,0.0
0.2,21,1.0,1.0,0.6604906981829795,0.21678812760583588,0.0,1.0,0.0
0.2,22,1.0,1.0,0.6548639901045835,0.21911292673033014,0.5,0.5,0.0
0.2,23,1.0,1.0,0.6653996917841785,0.21388095299036286,1.0,0.0,0.0
0.2,24,1.0,1.0,0.660751684837278,0.21863294175889866,0.0,1.0,0.0
0.2,25,1.0,1.0,0.654510756984223,0.21879159206159216,0.25,0.75,0.0
0.2,26,1.0,1.0,0.6529469002602772,0.2237891050379063,0.75,0.25,0.0
0.2,27,1.0,1.0,0.6616699149606721,0.22219792690394802,1.0,0.0,0.0
0.2,28,1.0,1.0,0.6634722541440999,0.2160379057407152,0.25,0.75,0.0
0.2,29,1.0,1.0,0.6530676494055986,0.22094248997959737,0.5,0.5,0.0
0.30000000000000004,0,1.0,1.0,0.5829294112464981,0.262610492283936,0.25,0.25,0.5
