scarcity,seed,n_requests,QKD,PQC,HYBRID
0.7142857142857142,3,3,0,3,0
0.7142857142857142,4,3,0,3,0
0.7142857142857142,5,3,1,2,0
0.7142857142857142,6,3,1,2,0
0.7142857142857142,7,3,2,1,0
0.7142857142857142,8,3,2,1,0
0.7142857142857142,9,3,1,2,0
0.7142857142857142,10,3,1,2,0
0.7142857142857142,11,3,1,2,0
0.7142857142857142,12,3,1,2,0
0.7142857142857142,13,3,0,3,0
0.7142857142857142,14,3,1,2,0
0.7142857142857142,15,3,1,2,0
0.7142857142857142,16,3,1,2,0
0.7142857142857142,17,3,0,3,0
0.7142857142857142,18,3,1,2,0
0.7142857142857142,19,3,1,2,0
0.7142857142857142,20,3,3,0,0
0.7142857142857142,21,3,0,3,0
0.7142857142857142,22,3,2,1,0
0.7142857142857142,23,3,3,0,0
0.7142857142857142,24,3,0,3,0
0.7142857142857142,25,3,1,2,0
0.7142857142857142,26,3,2,1,0
0.7142857142857142,27,3,3,0,0
0.7142857142857142,28,3,0,3,0
0.7142857142857142,29,3,1,2,0
0.8571428571428571,0,3,2,1,0
0.8571428571428571,1,3,1,2,0
0.8571428571428571,2,3,2,1,0
0.8571428571428571,3,3,0,3,0
0.8571428571428571,4,3,0,3,0
0.8571428571428571,5,3,1,2,0
0.8571428571428571,6,3,1,2,0
0.8571428571428571,7,3,2,1,0
0.8571428571428571,8,3,2,1,0
0.8571428571428571,9,3,1,2,0
0.8571428571428571,10,3,1,2,0
0.8571428571428571,11,3,1,2,0
0.8571428571428571,12,3,1,2,0
0.8571428571428571,13,3,0,3,0
0.8571428571428571,14,3,1,2,0
0.8571428571428571,15,3,1,2,0
0.8571428571428571,16,3,1,2,0
0.8571428571428571,17,3,0,3,0
0.8571428571428571,18,3,1,2,0
0.8571428571428571,19,3,1,2,0
0.8571428571428571,20,3,3,0,0
0.8571428571428571,21,3,0,3,0
0.8571428571428571,22,3,2,1,0
0.8571428571428571,23,3,3,0,0
0.8571428571428571,24,3,0,3,0
0.8571428571428571,25,3,1,2,0
0.8571428571428571,26,3,2,1,0
0.8571428571428571,27,3,3,0,0
0.8571428571428571,28,3,0,3,0
0.8571428571428571,29,3,1,2,0
1.0,0,3,2,1,0
1.0,1,3,1,2,0
1.0,2,3,2,1,0
1.0,3,3,0,3,0
1.0,4,3,0,3,0
1.0,5,3,1,2,0
1.0,6,3,1,2,0
1.0,7,3,2,1,0
1.0,8,3,2,1,0
1.0,9,3,1,2,0
1.0,10,3,1,2,0
1.0,11,3,1,2,0
1.0,12,3,1,2,0
1.0,13,3,0,3,0
1.0,14,3,1,2,0
1.0,15,3,1,2,0
1.0,16,3,1,2,0
1.0,17,3,0,3,0
1.0,18,3,1,2,0
1.0,19,3,1,2,0
1.0,20,3,3,0,0
1.0,21,3,0,3,0
1.0,22,3,2,1,0
1.0,23,3,3,0,0
1.0,24,3,0,3,0
1.0,25,3,1,2,0
1.0,26,3,2,1,0
1.0,27,3,3,0,0
1.0,28,3,0,3,0
1.0,29,3,1,2,0
