topology,n_nodes,seed,n_qubits,solver,objective,runtime_s,violations,approximation_ratio
A,5,0,6,Greedy,0.5953353939989281,1.1279989848844707e-05,0,1.0
A,5,0,6,MILP,0.5953353939989281,0.0015391990018542856,0,1.0
A,5,0,6,SimulatedAnnealing,0.5953353939989281,0.012621924994164146,0,1.0
A,5,0,6,Exact,0.5953353939989281,7.757800631225109e-05,0,1.0
A,5,0,6,QAOA(p=2),0.5953353939989281,0.8929237489937805,0,1.0
A,5,1,6,Greedy,0.4009167347152349,1.1066993465647101e-05,0,1.0
A,5,1,6,MILP,0.4009167347152349,0.0009569779940648004,0,1.0
A,5,1,6,SimulatedAnnealing,0.4009167347152349,0.010567821009317413,0,1.0
A,5,1,6,Exact,0.4009167347152349,7.250800263136625e-05,0,1.0
A,5,1,6,QAOA(p=2),0.4009167347152349,0.42181741999229416,0,1.0
A,5,2,6,Greedy,0.8553350424636967,1.3170007150620222e-05,0,1.0
A,5,2,6,MILP,0.8553350424636967,0.0010038859909400344,0,1.0
A,5,2,6,SimulatedAnnealing,0.8553350424636967,0.011243061002460308,0,1.0
A,5,2,6,Exact,0.8553350424636967,0.0001499089994467795,0,1.0
A,5,2,6,QAOA(p=2),0.8553350424636967,0.4283393029909348,0,1.0
A,5,3,6,Greedy,0.6218091837477786,1.080299261957407e-05,0,1.0
A,5,3,6,MILP,0.6218091837477786,0.000931554997805506,0,1.0
A,5,3,6,SimulatedAnnealing,0.6218091837477786,0.01133813100750558,0,1.0
A,5,3,6,Exact,0.6218091837477786,8.00480047473684e-05,0,1.0
A,5,3,6,QAOA(p=2),0.6218091837477786,0.5007360220042756,0,1.0
A,5,4,6,Greedy,0.45236957059906757,1.1523996363393962e-05,0,1.0
A,5,4,6,MILP,0.45236957059906757,0.0009449299977859482,0,1.0
A,5,4,6,SimulatedAnnealing,0.45236957059906757,0.01007795000623446,0,1.0
A,5,4,6,Exact,0.45236957059906757,7.696000102441758e-05,0,1.0
A,5,4,6,QAOA(p=2),0.45236957059906757,0.46040395100135356,0,1.0
A,5,5,6,Greedy,0.5800915602502226,1.0853007552213967e-05,0,1.0
A,5,5,6,MILP,0.5800915602502226,0.0009157789900200441,0,1.0
A,5,5,6,SimulatedAnnealing,0.5800915602502226,0.01061275000392925,0,1.0
A,5,5,6,Exact,0.5800915602502226,7.136599742807448e-05,0,1.0
A,5,5,6,QAOA(p=2),0.5800915602502226,0.4304661330097588,0,1.0
A,5,6,6,Greedy,0.5310269297275578,1.0033996659331024e-05,0,1.0
A,5,6,6,MILP,0.5310269297275578,0.0010332200035918504,0,1.0
A,5,6,6,SimulatedAnnealing,0.5310269297275578,0.009833354997681454,0,1.0
A,5,6,6,Exact,0.5310269297275578,7.136599742807448e-05,0,1.0
A,5,6,6,QAOA(p=2),0.5310269297275578,0.45882887300103903,0,1.0
A,5,7,6,Greedy,0.45512133080839945,1.2948003131896257e-05,0,1.0
A,5,7,6,MILP,0.45512133080839945,0.0010559390066191554,0,1.0
A,5,7,6,SimulatedAnnealing,0.45512133080839945,0.009930430998792872,0,1.0
A,5,7,6,Exact,0.45512133080839945,7.218400423880666e-05,0,1.0
A,5,7,6,QAOA(p=2),0.45512133080839945,0.4361763560009422,0,1.0
A,5,8,6,Greedy,0.6323764777033389,1.1316995369270444e-05,0,1.0
A,5,8,6,MILP,0.6323764777033389,0.0009120820031967014,0,1.0
A,5,8,6,SimulatedAnnealing,0.6323764777033389,0.011932606008485891,0,1.0
A,5,8,6,Exact,0.6323764777033389,9.369599865749478e-05,0,1.0
A,5,8,6,QAOA(p=2),0.6323764777033389,0.44175896600063425,0,1.0
A,5,9,6,Greedy,0.8225411986439823,1.0563991963863373e-05,0,1.0
A,5,9,6,MILP,0.8225411986439823,0.000876367004821077,0,1.0
A,5,9,6,SimulatedAnnealing,0.8225411986439823,0.010954792989650741,0,1.0
A,5,9,6,Exact,0.8225411986439823,7.404599455185235e-05,0,1.0
A,5,9,6,QAOA(p=2),0.8225411986439823,0.4600962419935968,0,1.0
A,5,10,6,Greedy,0.6838218280366277,1.046199759002775e-05,0,1.0
A,5,10,6,MILP,0.6838218280366277,0.0009983560012187809,0,1.0
A,5,10,6,SimulatedAnnealing,0.6838218280366277,0.01033774099778384,0,1.0
A,5,10,6,Exact,0.6838218280366277,7.282799924723804e-05,0,1.0
A,5,10,6,QAOA(p=2),0.6838218280366277,0.44522124400828034,0,1.0
A,5,11,6,Greedy,1.2954117533351237,1.0427000233903527e-05,0,1.0
A,5,11,6,MILP,1.2954117533351237,0.0008650829986436293,0,1.0
A,5,11,6,SimulatedAnnealing,1.2954117533351237,0.010254350010654889,0,1.0
A,5,11,6,Exact,1.2954117533351237,7.33980123186484e-05,0,1.0
A,5,11,6,QAOA(p=2),1.2954117533351237,0.4590974109887611,0,1.0
A,5,12,6,Greedy,0.7145924193891346,1.0934003512375057e-05,0,1.0
A,5,12,6,MILP,0.7145924193891346,0.0009642969962442294,0,1.0
A,5,12,6,SimulatedAnnealing,0.7145924193891346,0.009549424998112954,0,1.0
A,5,12,6,Exact,0.7145924193891346,7.420800102408975e-05,0,1.0
A,5,12,6,QAOA(p=2),0.7145924193891346,0.40342772399890237,0,1.0
A,5,13,6,Greedy,0.3642890709125055,1.1709998943842947e-05,0,1.0
A,5,13,6,MILP,0.3642890709125055,0.0010298540000803769,0,1.0
A,5,13,6,SimulatedAnnealing,0.3642890709125055,0.011416627006838098,0,1.0
A,5,13,6,Exact,0.3642890709125055,8.489600440952927e-05,0,1.0
A,5,13,6,QAOA(p=2),0.3642890709125055,0.461397067992948,0,1.0
A,5,14,6,Greedy,0.6576842699377039,1.039801281876862e-05,0,1.0
A,5,14,6,MILP,0.6576842699377039,0.0009050850057974458,0,1.0
A,5,14,6,SimulatedAnnealing,0.6576842699377039,0.009269499001675285,0,1.0
A,5,14,6,Exact,0.6576842699377039,7.197500963229686e-05,0,1.0
A,5,14,6,QAOA(p=2),0.6576842699377039,0.37586583699157927,0,1.0
A,5,15,6,Greedy,0.6056143736749124,1.0599993402138352e-05,0,1.0
A,5,15,6,MILP,0.6056143736749124,0.0009112429979722947,0,1.0
A,5,15,6,SimulatedAnnealing,0.6056143736749124,0.010910986995440908,0,1.0
